DISTRICT NAME,DISTRICT NUMBER,COUNTY NUMBER AND NAME,EDUCATION SERVICE CENTER REGION,DISTRICT ACCOUNTABILITY RATINGS,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STUDENTS: % AFRICAN AMERICAN,STUDENTS: % HISPANIC,STUDENTS: % WHITE,STUDENTS: % AMERICAN INDIAN,STUDENTS: % ASIAN,STUDENTS: % PACIFIC ISLANDER,STUDENTS: % TWO OR MORE RACES,STUDENTS: % ECONOMICALLY DISADVANTAGED,STUDENTS: % ENGLISH LEARNERS (EL),STUDENTS: % SPECIAL EDUCATION,STUDENTS: % BILINGUAL/ESL EDUCATION,STUDENTS: % CAREER & TECHNICAL EDUCATION,STUDENTS: % GIFTED & TALENTED EDUCATION,ATTENDANCE RATE (2020-21),ANNUAL DROPOUT RATE GR. 9-12 (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,5-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2020) DISTRICT EXCL, 6-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2019) DISTRICT EXCL,ANNUAL GRADUATE COUNT (2020-21),ANNUAL RHSP/DAP/FHSP-E/FHSP-DLA GRADUATE COUNT (2020-21),STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),SAT-AVERAGE SCORE (2021-2020),ACT-AVERAGE SCORE (2021-2020),TOTAL STAFF FTE,TOTAL TEACHER FTE,STAFF: % CENTRAL ADMINISTRATIVE,STAFF: % SCHOOL ADMINISTRATIVE,STAFF: % PROFESSIONAL SUPPORT,STAFF: % TEACHERS,STAFF: % EDUCATIONAL AIDES,STAFF: % AUXILIARY,AVERAGE SALARY: CENTRAL ADMINISTRATIVE,AVERAGE SALARY: SCHOOL ADMINISTRATIVE,AVERAGE SALARY: PROFESSIONAL SUPPORT,AVERAGE SALARY: TEACHER,STAFF: % MINORITY,NUMBER OF STUDENTS PER TOTAL STAFF,NUMBER OF STUDENTS PER TEACHER,TEACHER: % WITH 5 OR FEWER YEARS OF EXPERIENCE,TEACHER: AVERAGE YEARS OF EXPERIENCE,TEACHER: % WITH ADVANCED DEGREES,TEACHER: TURNOVER RATE,TEACHER: % AFRICAN AMERICAN,TEACHER: % HISPANIC,TEACHER: % WHITE,TEACHER: % AMERICAN INDIAN,TEACHER: % ASIAN,TEACHER: % PACIFIC ISLANDER,TEACHER: % TWO OR MORE RACES,TEACHER: % REGULAR EDUCATION,TEACHER: % SPECIAL EDUCATION,TEACHER: % COMPENSATORY EDUCATION,TEACHER: % BILINGUAL/ESL EDUCATION,TEACHER: % CAREER & TECHNICAL EDUCATION,TEACHER: % OTHER EDUCATION (INCLUDES G & T),TAXABLE VALUE PER PUPIL (2019 TAX YEAR),LOCALLY ADOPTED TAX RATE (2020 TAX YEAR),TOTAL OPERATING AND OTHER REVENUE (2020-21),Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),REVENUE: % STATE,REVENUE: % LOCAL AND OTHER,REVENUE: % FEDERAL,TOTAL OTHER REVENUE(2020-21),FUND BALANCE (FOR ISDS),NET ASSETS (CHARTER SCHOOLS),TOTAL ACTUAL EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,EXPENDITURE: % INSTRUCTIONAL,EXPENDITURE: % CENTRAL ADMINISTRATIVE,EXPENDITURE: % SCHOOL LEADERSHIP,EXPENDITURE: % PLANT SERVICES,EXPENDITURE: % OTHER OPERATING,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL, EXPENDITURE: % BASIC EDUCATION SERVICES,EXPENDITURE: % SPECIAL EDUCATION,EXPENDITURE: % STATE COMPENSATORY EDUCATION,EXPENDITURE: % BILINGUAL/ESL EDUCATION,EXPENDITURE: % CAREER & TECHNICAL EDUCATION, EXPENDITURE: % GIFTED & TALENTED EDUCATION,EXPENDITURE: % ATHLETICS/RELATED ACTIVITIES,EXPENDITURE: % HIGH SCHOOL ALLOTMENT,EXPENDITURE: % PREKINDERGARTEN,EXPENDITURE: % UN-ALLOCATED,DISTRICT SIZE,COMMUNITY TYPE,PROPERTY WEALTH,TAX RATE
FRUITVALE ISD,234909,234 VAN ZANDT,07,B,3,427,0.9,14.1,79.2,0,0.5,0,5.4,64.9,4.4,15.2,4.2,26.5,8.4,94.5,0,100,100,100,25,15,73,41,16,76,43,20,69,37,12,82,46,19,68,38,15,-1,-1,-1,77,42,14,73,41,17,,,,-1,-1,-1,,,,75,42,17,71,33,12,64,50,1162,22,87.4,36.8,4,3.4,6.6,42.1,20.2,23.6,91465,77969,50937,51852,7.8,4.9,11.6,24.7,13.2,27.1,29,0,5.4,94.6,0,0,0,0,71.6,7.6,8.1,0,12.3,0.3,145389,1.145,6825620,15874,6652224,75.4,10.6,13.9,173396,1974074,0,6399577,6032906,14030,55.8,7.2,4.7,10.9,21.3,3368118,7833,35.1,9.6,10.7,0.1,5.4,0.1,2.9,0,1.8,32.4,Under 500,Rural,"Under $164,606",$1.0809 to under $1.2148
BLOOMINGTON ISD,235901,235 VICTORIA,03,B,5,825,3.4,83.8,11.6,0,0,0,1.2,85.9,19.8,14.2,19.6,17.9,3.9,89.4,4.2,78.6,80,82.1,55,35,58,28,10,59,33,11,48,18,6,67,33,11,70,35,19,59,33,16,57,26,9,60,36,14,,,,,,,,,,81,69,38,55,26,9,30.9,11.8,864,,163.9,69.5,1.2,4.3,5.5,42.4,22.4,24.2,119295,85662,66981,53513,60.8,5,11.9,37.2,10.1,16.4,22.2,8.6,33.7,55.6,0,2,0,0,78.3,5.9,7.2,1.3,6.4,0.9,258454,1.228,12389445,13999,11726486,61.7,21.7,16.6,662959,782676,0,12749941,11665958,13182,52.5,7.2,6.9,14.1,19.2,6127064,6923,33.8,11.2,13.5,0.4,3.4,0.1,3.2,0,0.6,30.7,500 to 999,Rural,"$234,712 to < $298,152",$1.2148 to under $1.3239
VICTORIA ISD,235902,235 VICTORIA,03,C,28,13253,5.9,67.3,23.9,0.3,0.9,0,1.8,68.8,7.3,12.8,7.2,25.9,5.5,93.3,0.4,97.2,98.1,97.1,852,690,63,36,16,65,42,19,58,28,12,66,35,13,68,40,23,48,22,9,59,30,12,79,54,29,47,30,17,87,73,53,100,100,71,65,39,19,56,28,11,38.3,30.1,990,19.6,1923.7,856.8,1,2.4,11.6,44.5,13.7,26.8,114395,74377,60266,52838,44.7,6.9,15.5,35.1,11.5,16.1,22,4.4,25.6,67.8,0.3,0.7,0.1,1.1,73,11.1,2.9,0.5,4.7,7.7,456749,1.19,162066563,12063,140315045,39.8,43.8,16.4,21751518,29855226,0,149111802,137946718,10268,54.7,7.3,5.5,12.5,20.1,75387890,5611,39.3,14.4,10.7,0.6,2.2,2.3,2.2,0.6,0.8,23.9,"10,000 to 24,999",Independent Town,"$427,868 to < $456,750",$1.0809 to under $1.2148
NURSERY ISD,235904,235 VICTORIA,03,A,1,136,0.7,33.1,62.5,0,0.7,0,2.9,45.6,3.7,11.8,3.7,0,8.1,96.7,,,,,,,98,84,57,98,84,62,98,91,62,96,64,32,,,,-1,-1,-1,100,72,46,96,89,58,,,,-1,-1,-1,,,,100,75,75,95,79,46,,,,,24.2,13,2.1,6.2,8.3,53.7,5.9,24,100000,71440,51280,47775,16.4,5.6,10.5,38.5,10.3,7.7,14.3,0,0,92.3,0,7.7,0,0,82.4,7.7,7.7,2.2,0,0,1975420,1.036,2284257,16200,2038013,3.5,87.5,9,246244,794687,0,2072441,1822966,12929,54.2,10.5,9.5,12.8,13.1,987803,7006,36.1,5.8,16.5,0.1,0,0.1,0,0,4.9,30.3,Under 500,Rural,"$1,892,208 and over",Under $1.0809
RAVEN SCHOOL,236801,236 WALKER,06,Not Rated,1,29,24.1,37.9,31,0,3.4,0,3.4,100,6.9,51.7,6.9,6.9,0,100,4.2,20.5,20.3,8.2,4,0,21,6,0,9,0,0,0,0,0,14,14,0,56,11,0,-1,-1,-1,11,0,0,22,11,0,,,,,,,,,,-1,-1,-1,17,6,0,-1,,,,11.3,4.1,1.5,1.5,16,36.1,26.6,18.3,-2,-2,63240,62353,17.7,2.6,7.1,0,15.3,0,27.8,49.2,0,50.8,0,0,0,0,28.1,0,0,0,71.9,0,0,0,918412,23549,918412,62,0.1,37.9,0,0,373971,1174733,1174733,30121,44.4,13.9,15.4,19.9,6.4,521325,13367,13.8,15,22.6,0.1,19.8,0,0,0.1,0,27.1,Under 500,Charters,Non-taxing entities,Non-taxing entities
SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,236802,236 WALKER,06,B,1,432,20.4,24.8,46.8,0.2,2.1,0,5.8,26.6,8.1,9.7,6.9,0,4.2,96.8,,,,,,,90,65,34,91,72,42,90,64,32,83,38,13,,,,86,54,21,87,58,26,92,73,46,-1,-1,-1,100,100,33,,,,96,65,27,87,51,18,,,,,37.8,26.5,2.6,0.9,0,70,21.2,5.3,61003,89064,,57550,18,11.4,16.3,7.6,15.3,28.9,12.1,10.6,3.8,85.6,0,0,0,0,99.3,0.7,0,0,0,0,0,0,4876928,12192,4876928,98.7,0,1.3,0,0,1635763,3285371,3285371,8213,69.4,6.4,3.5,20.4,0.3,2281443,5704,59.3,7.8,2.4,0.5,0,0.1,0,0,0,26.9,Under 500,Charters,Non-taxing entities,Non-taxing entities
NEW WAVERLY ISD,236901,236 WALKER,06,B,4,994,13.5,13.9,65.3,0.4,0.3,0,6.6,51,3.3,10.6,3.2,25.8,6.7,96.4,1.3,93.2,98.4,98.6,70,46,80,52,23,80,59,28,81,45,18,80,48,16,78,54,25,60,26,7,84,57,25,84,57,26,-1,-1,-1,-1,-1,-1,,,,82,52,22,72,39,15,40,46.4,1035,18.3,160.1,85.7,1.2,3.4,6.5,53.5,10.8,24.4,128660,91514,70973,51665,14.7,6.2,11.6,27.2,14.3,13.7,18.8,4.5,1.1,94.3,0,0,0,0,75.2,12.3,0.6,0,8.8,3.2,433552,1.153,15517660,14950,13857414,49.9,35.1,15,1660246,5368876,0,14356631,12760401,12293,54.8,8.9,5.7,12.2,18.4,6985858,6730,44.9,9.9,7.1,0.8,3.4,0.2,3.6,0.4,0,27.6,500 to 999,Non-metropolitan Stable,"$427,868 to < $456,750",$1.0809 to under $1.2148
HUNTSVILLE ISD,236902,236 WALKER,06,C,11,15260,19.5,43.1,29,0.6,5.2,0.1,2.4,56.3,11.8,10.8,10.6,22.8,6.3,95.3,2.5,87.6,90.9,90.3,766,617,64,37,16,72,48,22,55,24,10,64,32,11,64,41,23,54,27,10,61,33,13,71,44,20,76,45,16,90,70,42,83,54,29,75,44,20,58,30,12,36,25.7,971,20.6,895.1,409.1,1.2,3.1,11.1,45.7,14.1,24.8,123225,80933,65848,51104,38.8,17,37.3,52,8.5,15.5,19.2,12.4,11,74.9,0,0.2,1,0.5,73.2,10,3.9,3.4,6.6,2.9,341754,1.038,99766000,9214,96828043,48.7,38,13.3,2937957,30647463,0,97284669,90873450,8392,65,6.5,4.4,8.3,15.8,59082923,5456,45.9,11.7,10.9,0.5,5.8,0.2,2.1,0,0.6,20.4,"10,000 to 24,999",Independent Town,"$340,843 to < $359,962",Under $1.0809
HEMPSTEAD ISD,237902,237 WALLER,04,Not Rated: Senate Bill 1365,4,1584,25.4,61.6,11.6,0,0.4,0.1,0.9,87.9,33.9,9.8,32.4,37.5,7.1,91.7,3.3,83.3,85,96.6,70,60,49,22,8,49,27,9,43,16,6,49,16,3,66,36,21,38,16,5,50,22,8,64,35,14,,,,89,78,33,-1,-1,-1,63,42,11,46,20,7,42.9,13.3,908,-1,246.2,113.8,2.1,4.6,8.7,46.2,13.6,24.8,110540,75844,69450,54050,57.4,6.4,13.9,48.2,8.4,18.9,29.8,29.9,19.9,46.7,0,0,0,3.5,63.5,8.5,9.6,5.8,8.7,3.9,481772,1.229,21590993,14289,19212148,44.9,40.2,14.9,2378845,4012833,0,21183743,19433560,12861,51.7,9.6,6.4,13.6,18.7,10048328,6650,30.8,13.9,12.1,1.7,4.5,0.6,2.4,0.1,0,29.3,"1,000 to 1,599",Non-metropolitan Stable,"$479,670 to < $526,224",$1.2148 to under $1.3239
WALLER ISD,237904,237 WALLER,04,B,8,8367,10.6,56.8,29.1,0.3,1,0.1,2.3,68,31.2,13.5,31.1,26.3,5.5,95.5,1.6,92.7,97.8,98,483,335,71,41,17,70,45,19,70,33,12,76,46,19,75,45,25,60,29,10,67,36,14,82,55,26,58,34,11,92,66,36,89,67,33,79,52,31,66,34,13,92.3,18.4,928,18.9,1111,519.6,1.5,2.8,10.5,46.8,12.1,26.4,122852,82958,73883,62237,41.5,7.5,16.1,32,10.9,21.4,13.3,10.7,19.7,67.3,0.2,0.4,0.4,1.3,59.8,13,4.5,11,5.8,6,573796,1.366,109191815,14097,88458161,33.4,50.7,15.9,20733654,8660100,0,204910352,85663681,11059,57.1,11.8,4.5,8.6,18,48912416,6315,40.3,18.9,5.8,1.4,3.8,0.6,1.9,0,0.4,25.1,"5,000 to 9,999",Independent Town,"$539,089 to < $573,876",$1.3239 and over
ROYAL ISD,237905,237 WALLER,04,B,4,2572,15.4,73.9,8.7,0.2,0.4,0,1.4,76,44.9,10.6,44.8,33.1,2.3,93.9,0.3,91.5,92.4,99.3,142,140,61,31,12,59,34,14,63,30,11,64,29,9,59,27,11,58,28,10,61,30,11,73,44,21,,,,71,65,18,,,,72,48,20,60,28,10,23.2,21.2,959,17.9,339.1,173.8,2.7,3.5,8.9,51.3,13.2,20.4,109572,88295,71899,57657,61.3,7.6,14.8,46,8.1,17.8,29,23.9,31.5,44,0,0,0.6,0,63.5,8.7,0,14.9,10.1,2.7,713942,1.322,38685535,15624,32394840,34.5,54.1,11.4,6290695,11726103,0,37822625,30319919,12246,55.6,7.5,5.8,12.7,18.4,16865046,6811,41.5,10,8.2,0.8,6.3,1.4,1.9,0,0.2,27.3,"1,600 to 2,999",Non-metropolitan Stable,"$710,768 to < $836,577",$1.2148 to under $1.3239
MONAHANS-WICKETT-PYOTE ISD,238902,238 WARD,18,B,6,2039,4.4,62.3,31.7,0.4,0.5,0.1,0.5,30.9,10.3,16.9,9.9,23.4,3,93,1.3,96.2,94.9,97.3,132,75,73,41,18,72,45,19,74,38,16,70,36,12,74,44,26,57,26,9,71,38,15,77,49,24,100,43,14,96,92,67,,,,64,36,9,65,33,13,76.5,15.8,903,17.2,355.6,154.6,2.1,3.1,5.5,43.5,23.1,22.8,94908,78219,67815,56082,47.5,5.7,13.2,35.8,11.5,16.5,15.3,1.3,25.9,70.2,0.6,0.6,0.6,0.6,85.4,4,2.2,0.1,6.9,1.4,1571732,1.228,43121578,20573,31827585,24.7,66.5,8.8,11293993,26102528,0,79995767,26170913,12486,58.7,5,5.6,11.9,18.8,15363051,7330,39.7,12.8,8.1,1.5,3.1,0.1,3.7,0,0,29.2,"1,600 to 2,999",Other Central City Suburban,"$1,039,446 to < $1,892,208",$1.2148 to under $1.3239
GRANDFALLS-ROYALTY ISD,238904,238 WARD,18,Not Rated: Senate Bill 1365,1,147,3.4,64.6,28.6,0,0,0,3.4,61.9,1.4,16.3,1.4,34,0.7,93.2,0,90,93.8,88.9,10,6,53,23,7,59,22,8,44,21,6,55,24,3,56,32,12,-1,-1,-1,51,23,6,57,24,10,,,,,,,,,,-1,-1,-1,48,19,4,10,-1,,-1,30,14.9,0,0.4,0,49.6,20,30,,78000,,59505,46.7,4.9,9.9,26.9,18,26.1,49.7,6.7,13.4,79.9,0,0,0,0,85.6,6.7,0.7,0,7,0,1077274,1.382,3165164,19067,2400378,9.9,75.4,14.6,764786,2630154,0,3415226,2527661,15227,56.6,10.5,5.6,14.8,12.5,1431600,8624,47.4,4.8,6.8,0,4.4,0,3.3,0,1.4,30.7,Under 500,Rural,"$1,039,446 to < $1,892,208",$1.3239 and over
BRENHAM ISD,239901,239 WASHINGTON,06,B,7,4866,19.9,37.7,38.1,0,1.5,0,2.8,53.2,13,15,12.9,34,6.2,94,1.8,94.3,93.5,95.2,341,245,72,46,22,70,47,22,74,44,21,76,48,21,72,47,26,53,25,8,69,39,16,86,64,34,-1,-1,-1,84,69,44,-1,-1,-1,74,42,21,63,34,13,34.6,41.5,1015,23.1,679,377.4,1.2,2.7,10.6,55.6,12.5,17.4,122064,85527,67936,53796,24.8,7.2,12.9,33,11.3,18.1,21.8,8.3,7.9,83.3,0,0,0,0.5,66.8,13.8,2.1,2.5,8.7,6.1,638899,1.046,57308629,11648,54535045,23.8,59.4,16.8,2773584,14140238,0,58612917,53399198,10853,57.7,6.9,5.3,10.5,19.6,30830480,6266,40.1,15.8,7,0.5,4.2,1,2.3,0,2.2,24.8,"3,000 to 4,999",Independent Town,"$602,435 to < $674,066",Under $1.0809
BURTON ISD,239903,239 WASHINGTON,06,A,2,519,9.2,16.8,69.9,0.4,0,0.2,3.5,48.2,5.2,11.2,4.6,41.4,6,97.1,0,100,96.4,100,29,29,85,61,30,86,65,33,90,63,35,78,48,13,76,55,30,73,40,7,76,49,22,89,68,36,-1,-1,-1,,,,,,,86,48,24,78,50,20,100,11.1,909,-1,82.4,47,1.2,4.9,4.9,57.1,12.1,19.9,125153,78211,60988,55295,7.2,6.3,11,10.6,14,17,17.8,2.1,0,95.7,0,2.1,0,0,82,3.6,4.3,0,10.2,0,1469154,1.041,8321971,17446,7781210,5.1,85.5,9.4,540761,2836097,0,7881941,6772702,14199,59.7,9.3,6.9,9.8,14.3,4044486,8479,44.2,10.4,8,0.2,5.5,0.1,4.5,0,0.2,25.1,500 to 999,Rural,"$1,039,446 to < $1,892,208",Under $1.0809
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,240801,240 WEBB,01,A,2,182,0,100,0,0,0,0,0,97.3,58.2,11.5,64.3,43.4,0,92.3,0,87.3,98.8,99,91,74,59,23,4,35,14,0,74,31,10,70,12,0,89,42,11,,,,59,23,4,,,,,,,,,,,,,,,,58,22,4,11,0,781,,58.1,13.8,6.9,6.9,19.5,23.8,6.4,36.5,91232,69073,49832,41487,87,3.1,13.1,56.7,8,7.2,30.8,0,92.4,7.6,0,0,0,0,91,1.6,0,0,7.4,0,0,0,3582932,14806,3582932,71,2.5,26.5,0,0,0,3458375,3458375,14291,49.3,8.9,20,14.4,7.5,1703191,7038,36.1,7.7,30.2,1.1,5.4,0,0,0,0,19.5,Under 500,Charters,Non-taxing entities,Non-taxing entities
LAREDO ISD,240901,240 WEBB,01,A,30,19716,0,99.6,0.3,0,0.1,0,0,96.5,55.2,9.8,55.2,34.5,14.5,97.8,3.1,96.2,97,96,1440,1380,71,42,18,68,42,19,72,39,18,77,45,17,73,40,20,83,50,0,71,42,18,72,41,20,,,,91,73,45,,,,-1,-1,-1,71,41,18,84.2,10,859,14.7,3670.5,1459.3,0.6,2.3,10,39.8,10.9,36.4,114546,83978,70945,60329,98.8,5.4,13.5,25,13.4,22.7,10,0.2,97.4,1.6,0.1,0.7,0,0.1,90.9,2.5,0.1,4.1,1.5,0.8,112871,1.393,306783337,13935,270875458,68.7,10.2,21.1,35907879,62710744,0,340010930,267545936,12153,57.6,6.6,5.9,11,18.9,154194576,7004,38.9,10.4,17,2,3.6,0.3,1.3,0,2.1,23.4,"10,000 to 24,999",Other Central City Suburban,"Under $164,606",$1.3239 and over
UNITED ISD,240903,240 WEBB,01,A,50,39243,0.1,98.9,0.6,0,0.3,0,0,75.5,37.7,11.8,39.9,37.7,14.1,97.5,1.2,97.2,97.5,97,3220,2918,79,52,24,79,55,25,79,48,23,82,52,22,78,49,26,81,70,33,79,52,24,87,70,44,73,27,9,93,79,61,-1,-1,-1,79,57,29,76,46,20,44.2,28.7,1000,19.3,6268.3,2539.5,1.6,2.8,7.8,40.5,10.8,36.5,96011,83453,70698,58924,98.3,6.3,15.5,19.4,14.4,25,7.9,0.1,96.9,2.4,0,0.4,0,0.2,67.5,10.2,1.2,5.5,7.4,8.2,419590,1.199,529367616,12654,489265086,45.8,34.4,19.8,40102530,88898605,0,547047673,469624276,11226,56.9,6.6,5.9,10.8,19.9,267132266,6385,38.3,12.3,10.7,1.5,3.3,0.1,1.6,0,0.7,24.7,"25,000 to 49,999",Other Central City,"$411,857 to < $427,868",$1.0809 to under $1.2148
WEBB CISD,240904,240 WEBB,01,B,4,264,0,95.8,4.2,0,0,0,0,81.8,9.5,14.8,9.1,6.8,4.9,94.9,2.4,94.4,94.7,100,17,16,68,37,13,72,46,20,67,33,10,68,32,8,57,27,7,,,,67,37,13,92,58,25,,,,,,,,,,,,,66,35,13,52.9,33.3,947,-1,59.7,29.1,2.5,4.9,4.2,48.7,9.8,30,139746,81803,66297,61610,95,4.4,9.1,48.2,10.7,22.7,35.6,0,89.7,10.3,0,0,0,0,87.5,4.8,0,0,7.7,0,1911818,1.166,9565908,35561,7482546,26.5,62.1,11.5,2083362,2371524,0,10755936,7087074,26346,47.2,14.4,4.6,16.6,17.2,3345980,12439,26,7.8,12.3,3.1,4.6,0,3.8,0.1,0.9,40.1,Under 500,Rural,"$1,892,208 and over",$1.0809 to under $1.2148
BOLING ISD,241901,241 WHARTON,03,B,3,1141,8.8,54.4,35.2,0,0.3,0.1,1.2,52.3,8.3,8.3,7.4,27.1,5.3,95.7,0.3,98.8,100,100,82,82,76,45,19,72,47,23,76,41,14,80,43,15,87,55,30,66,25,7,71,38,15,87,61,30,,,,100,67,0,-1,-1,-1,79,50,36,69,36,13,26.8,31.8,1007,16.3,149.2,74.1,1.6,3.4,2.6,49.7,12.7,30.1,123143,85771,72372,53084,34.1,7.6,15.4,27,12.9,6.7,23.6,1.3,12.1,86.5,0,0,0,0,80.7,5.4,4.4,0,6.1,3.5,401661,0.966,12575497,11474,12555497,53.9,38.7,7.4,20000,4017687,0,14355752,11756736,10727,49.4,7.4,6.7,12.8,23.8,5807359,5299,36.9,5.8,10.8,0.3,5.6,0.7,4.6,0.1,0,32.1,"1,000 to 1,599",Non-metropolitan Stable,"$359,962 to < $411,857",Under $1.0809
EAST BERNARD ISD,241902,241 WHARTON,03,A,3,954,6.7,32.3,59.6,0,0.6,0,0.7,38.6,5.9,9.4,5.7,29.8,11,96.4,0,100,98.7,100,74,63,88,62,29,88,66,28,88,57,29,83,60,25,92,66,45,74,33,11,82,50,17,93,72,38,,,,,,,,,,-1,-1,-1,78,44,17,50,29.7,1016,-1,131,82.5,1.5,3.1,3.8,63,9.2,19.5,110096,77942,60618,52780,17.3,7.3,11.6,10.9,18,15.2,8,0,10.9,89.1,0,0,0,0,84.5,0.9,2.6,0.4,9.9,1.6,457859,1.354,12981774,14080,11481441,50.7,44.1,5.1,1500333,5719435,0,14753665,10121343,10978,59.3,5.8,4.5,9.7,20.6,6000641,6508,50.8,4.5,5,0.2,5.7,0.5,5.4,0.1,0.5,25.1,500 to 999,Non-metropolitan Stable,"$456,750 to < $479,670",$1.3239 and over
EL CAMPO ISD,241903,241 WHARTON,03,B,5,3404,9.2,65.9,23.2,0.2,0.4,0.1,1,75.1,12.5,11.5,12.3,28.4,7.3,93.2,1.2,96.9,98,99.1,259,246,71,44,20,69,43,20,73,44,20,75,48,19,70,42,21,61,31,10,68,39,17,86,65,34,-1,-1,-1,85,77,54,-1,-1,-1,66,42,23,66,36,15,25.1,40,1045,21.5,480.3,232.8,1.5,3.2,8.3,48.5,16.9,21.7,114586,83188,65724,55987,33.2,7.1,14.6,29.8,13.1,17.4,19.1,3.9,15,81.1,0,0,0,0,65.2,10.8,3.8,3.3,8.3,8.6,386309,1.126,46455413,13265,41353302,47.4,39.5,13.1,5102111,9975236,0,43830413,38961215,11125,55.6,5.8,5.3,11.4,21.9,21647778,6182,40.9,15.7,10,0.7,5.1,0.1,3.5,0,0,22,"3,000 to 4,999",Independent Town,"$359,962 to < $411,857",$1.0809 to under $1.2148
